Wall time,Step,Value
1506944189.4796922,50,0.7382429838180542
1506944353.211419,100,0.7932686805725098
1506944516.6249154,150,0.8570811152458191
1506944680.4542203,200,0.9607185125350952
1506944844.1920102,250,0.9884719848632812
1506945009.8468075,300,0.9950079321861267
1506945174.2688577,350,0.9940160512924194
1506945339.2207134,400,0.9947156310081482
1506945506.1665096,450,0.9906083941459656
1506945673.2793584,500,0.9949214458465576
